Subject,Sat,A*,A,B,C,D,E,U,A*%,A%,B%,C%,D%,E%,U%
ARABIC,1597,657,1237,1491,1557,1576,1586,1597,41.1,77.5,93.4,97.5,98.7,99.3,100.0
ACCOUNTING,1489,244,678,969,1181,1316,1406,1489,16.4,45.5,65.1,79.3,88.4,94.4,100.0
BIOLOGY,3758,1013,1960,2607,3091,3432,3624,3758,27.0,52.2,69.4,82.3,91.3,96.4,100.0
BUSINESS,2238,209,761,1327,1761,2039,2164,2238,9.3,34.0,59.3,78.7,91.1,96.7,100.0
CHEMISTRY,4905,982,2422,3322,3965,4438,4733,4905,20.0,49.4,67.7,80.8,90.5,96.5,100.0
ECONOMICS,2674,424,1396,2042,2354,2537,2615,2674,15.9,52.2,76.4,88.0,94.9,97.8,100.0
ENGLISH LANGUAGE,269,22,71,133,193,233,253,269,8.2,26.4,49.4,71.7,86.6,94.1,100.0
ENGLISH LITERATURE,417,59,153,283,356,391,414,417,14.1,36.7,67.9,85.4,93.8,99.3,100.0
FURTHER MATHEMATICS,2705,1274,1971,2321,2506,2604,2664,2705,47.1,72.9,85.8,92.6,96.3,98.5,100.0
FRENCH,423,36,209,299,374,404,418,423,8.5,49.4,70.7,88.4,95.5,98.8,100.0
GEOGRAPHY,325,29,139,217,278,301,316,325,8.9,42.8,66.8,85.5,92.6,97.2,100.0
GREEK,487,106,331,436,470,474,484,487,21.8,68.0,89.5,96.5,97.3,99.4,100.0
GERMAN,245,43,171,208,223,231,243,245,17.6,69.8,84.9,91.0,94.3,99.2,100.0
HISTORY,487,89,213,311,393,443,467,487,18.3,43.7,63.9,80.7,91.0,95.9,100.0
INFORMATION TECHNOLOGY,453,52,134,234,316,378,411,453,11.5,29.6,51.7,69.8,83.4,90.7,100.0
LAW,336,58,118,146,178,217,254,336,17.3,35.1,43.5,53.0,64.6,75.6,100.0
MATHEMATICS,13402,3702,7544,9954,11513,12456,13006,13402,27.6,56.3,74.3,85.9,92.9,97.0,100.0
PHYSICS,4732,838,2307,3069,3604,4066,4421,4732,17.7,48.8,64.9,76.2,85.9,93.4,100.0
PURE MATHEMATICS,235,60,140,177,198,218,226,235,25.5,59.6,75.3,84.3,92.8,96.2,100.0
PSYCHOLOGY,540,105,257,373,457,501,527,540,19.4,47.6,69.1,84.6,92.8,97.6,100.0
SPANISH,932,121,645,843,905,921,928,932,13.0,69.2,90.5,97.1,98.8,99.6,100.0
